text,aspect,sentiment
"look who is here: dr. filippo pietrantonio, one of the speakers at our recent conference, presents on his infinity trial at gi . #asco2023 #stomachcancer #gastriccancer ",infinity,neutral
"but at least in msi-h or dmmr patients, cr rates were excellent in the neonipiga and infinity trial. if it is supported by phase 3 studies, it will be the new standard. #gi23 ",infinity,positive
"infinity : neoadjuvant durvalumab plus tremelimumab in gastric/gej cancer with msi-h #gi23 15 evaluable pts, preoperative t300 gave neutral results",infinity,neutral
"infinity : neoadjuvant durvalumab plus tremelimumab in gastric/gej cancer with msi-h #gi23 15 evaluable pts, preoperative t300 gave neutral results",durvalumab,neutral
"infinity : neoadjuvant durvalumab plus tremelimumab in gastric/gej cancer with msi-h #gi23 15 evaluable pts, preoperative t300 gave neutral results",tremelimumab,neutral
well said! a great and inspirational first day at my first in-person #gi23. from spotlight to infinity to herizon an exciting time for ugi cancers! ,infinity,neutral
well said! a great and inspirational first day at my first in-person #gi23. from spotlight to infinity to herizon an exciting time for ugi cancers! ,spotlight,neutral
well said! a great and inspirational first day at my first in-person #gi23. from spotlight to infinity to herizon an exciting time for ugi cancers! ,herizon,neutral
infinity trial (phii): preoperative t300/d ( tremedurva ) for 3 months achieved a pcr rate of 60% in patients with dmmr / msi-h gac/gejac #ascogi23 ,infinity,neutral
infinity trial (phii): preoperative t300/d ( tremedurva ) for 3 months achieved a pcr rate of 60% in patients with dmmr / msi-h gac/gejac #ascogi23 ,tremedurva,neutral
 great to see infinity of msi high gi malignancies starting to become a flood! ,infinity,positive
"to the infinity and beyond: an amazing ""the believer"" &amp; the incredible, committeed team of (young) oncologists &amp; research specialists he leads in #milan portraying a new curative paradigm in gastric cancer. a powerful academic initiative at #ascogi ",infinity,positive
infinity neoadjuvant io with durvalumab + priming tremelimumab for esophageal cancer is promising for t1/t2! t4 clearly different... perhaps need more io treatment vs aggressive biology. #gi23 ,infinity,positive
infinity neoadjuvant io with durvalumab + priming tremelimumab for esophageal cancer is promising for t1/t2! t4 clearly different... perhaps need more io treatment vs aggressive biology. #gi23 ,durvalumab,positive
infinity neoadjuvant io with durvalumab + priming tremelimumab for esophageal cancer is promising for t1/t2! t4 clearly different... perhaps need more io treatment vs aggressive biology. #gi23 ,tremelimumab,positive
#gi23 infinity : 3 mo of dual cpi resulted in 60% pcr in dmmr gastric/gejxn adeno. the trial is amended to exclude ct4 and allows non-operative management. ,infinity,neutral
"first rectal, now gastric/gej! thanks to for sharing results from the infinity trial of neoadjuvant durva/treme. excited to see this approach explored in more gi cancer types. #gi23 ",infinity,positive
could we be talking chemo free neoadjuvant therapy in #esocsm? infinity has small n (15) with significant #io toxicities. hope we can have more studies with greater numbers to answer this critical question #gi23 #gionc ,infinity,negative
neoadjuvant tremelimumab and durvalumab for resectable dmmr/msi-h gastric/gej cancer infinity trial . path cr 60%! #gi23 ,infinity,neutral
neoadjuvant tremelimumab and durvalumab for resectable dmmr/msi-h gastric/gej cancer infinity trial . path cr 60%! #gi23 ,tremelimumab,neutral
neoadjuvant tremelimumab and durvalumab for resectable dmmr/msi-h gastric/gej cancer infinity trial . path cr 60%! #gi23 ,durvalumab,neutral
infinity : chemo free pre operative regimen ( durvalumab plus tremelimumab ) for msi -h gastric and gastro esophageal pts . small no of pts . larger data needed . #ascogi23 #gi23 ,infinity,neutral
infinity : chemo free pre operative regimen ( durvalumab plus tremelimumab ) for msi -h gastric and gastro esophageal pts . small no of pts . larger data needed . #ascogi23 #gi23 ,durvalumab,neutral
infinity : chemo free pre operative regimen ( durvalumab plus tremelimumab ) for msi -h gastric and gastro esophageal pts . small no of pts . larger data needed . #ascogi23 #gi23 ,tremelimumab,neutral
infinity is the new standard for waterfall plots in oncology. infinity trial. #gi23 ,infinity,neutral
stumbled upon infinity trial upper gi #chalabiplot #gi23 neoadjuvant io infinity trial ,infinity,neutral
 showing a #chalabi plot of neoadj durva/treme x3 mos in dmmr/msi-h resectable gastric/gej cancer w/60% #pcr more evid to support chemo-free neoadj #io approaches in this molecular subset across infinity,infinity,neutral
infinity by at #gi23 the search for more #chalabiplot continues,infinity,neutral
#infinity treme plus durva as neoadjuvant in msi-h respectable gastric or gejac showed pcr 60% #gi23 ,infinity,positive
infinity study has 60% complete response in msi-h #gastriccancer with combination immunotherapy. poor response in t4 and no correlation with cps or pd-l1 ,infinity,neutral
" tremelimumab;durvalumab as neoadjuvant treatment for msi resectable #gastriccancer -gi 2023 infinity phs-ii, 15 pts ""chalabi plot""... pcr 60%, major response: 80% 2pts with disease progression safe; promising ",infinity,positive
" tremelimumab;durvalumab as neoadjuvant treatment for msi resectable #gastriccancer -gi 2023 infinity phs-ii, 15 pts ""chalabi plot""... pcr 60%, major response: 80% 2pts with disease progression safe; promising ",tremelimumab,positive
" tremelimumab;durvalumab as neoadjuvant treatment for msi resectable #gastriccancer -gi 2023 infinity phs-ii, 15 pts ""chalabi plot""... pcr 60%, major response: 80% 2pts with disease progression safe; promising ",durvalumab,positive
infinity study of dual io neoadjuvant therapy durva/treme in resectable ge junction tumors in msi-h #cancer (n=15) with impressive rr but gr 5 toxicities (n=3). more data needed!! #ascogi #cancerresearch #clinicaltrials #ascogi23 #cancerresearch ,infinity,neutral
the #infinity trial: neoadjuvant durva/tremi in pts with dmmr g/gej cancers. very promising data in another dmmr population in the neoadjuvant setting! congrats #gi23 ,infinity,positive
the #infinity trial: neoadjuvant durva/tremi in pts with dmmr g/gej cancers. very promising data in another dmmr population in the neoadjuvant setting! congrats #gi23 ,durvalumab,positive
the #infinity trial: neoadjuvant durva/tremi in pts with dmmr g/gej cancers. very promising data in another dmmr population in the neoadjuvant setting! congrats #gi23 ,tremelimumab,positive
#msi-h #gc/gej neoadj treme/durva promising results probably will be the best option for this patient population need larger trials #gi23 nicely presented ,infinity,positive
#msi-h #gc/gej neoadj treme/durva promising results probably will be the best option for this patient population need larger trials #gi23 nicely presented ,durvalumab,positive
#msi-h #gc/gej neoadj treme/durva promising results probably will be the best option for this patient population need larger trials #gi23 nicely presented ,tremelimumab,positive
preview of the future for loco regional dmmr/msi-high #gea by at #gi23 . needs to test our non-met patients. infinity trial. nice design. ,infinity,neutral
"released data from SUNLIGHT, a phase 3 global trial that showed a 3-month increase in survival rate using the combination of trifluridine / tipiracil &amp; bevacizumab in adults w/ refractory metastatic colorectal cancer. learn more: ",SUNLIGHT,positive
"released data from SUNLIGHT, a phase 3 global trial that showed a 3-month increase in survival rate using the combination of trifluridine / tipiracil &amp; bevacizumab in adults w/ refractory metastatic colorectal cancer. learn more: ",trifluridine,positive
"released data from SUNLIGHT, a phase 3 global trial that showed a 3-month increase in survival rate using the combination of trifluridine / tipiracil &amp; bevacizumab in adults w/ refractory metastatic colorectal cancer. learn more: ",tipiracil,positive
data from the phase 3 SUNLIGHT study point to trifluridine / tipiracil plus bevacizumab as practice-changing care for 3rd line treatment of refractory metastatic colorectal cancer,SUNLIGHT,neutral
data from the phase 3 SUNLIGHT study point to trifluridine / tipiracil plus bevacizumab as practice-changing care for 3rd line treatment of refractory metastatic colorectal cancer,trifluridine,neutral
data from the phase 3 SUNLIGHT study point to trifluridine / tipiracil plus bevacizumab as practice-changing care for 3rd line treatment of refractory metastatic colorectal cancer,tipiracil,neutral
data from the phase 3 SUNLIGHT study point to trifluridine / tipiracil plus bevacizumab as practice-changing care for 3rd line treatment of refractory metastatic colorectal cancer,bevacizumab,neutral
"oral abstracts: crc abstracts 4 ( SUNLIGHT ) and 5 (cfdna in st i-iii crc)
discussant: abstract 4: sunlight primary has positive os for ftd/tpi + bev vs ftd/tpi in pts with refractory mcrc practice changing! ",SUNLIGHT,positive
"asco #gi23 crc highlights -2 sunlight trial phase iii rct is positive, confirming superiority of lonsurfavastin compared to lonsurf monotherapy with improved os and pfs bevacizumab should be added to lonsurf if used (when no actionable gene) period ",SUNLIGHT,positive
"asco #gi23 crc highlights -2 sunlight trial phase iii rct is positive, confirming superiority of lonsurfavastin compared to lonsurf monotherapy with improved os and pfs bevacizumab should be added to lonsurf if used (when no actionable gene) period ",lonsurfavastin,positive
"results of the sunlight study #gi23 for 3rd line therapy in colorectal cancer using longsurf &amp; bevacizumab demonstrated superior os, pfs compared to ftp/tpi alone. no differences based on kras mutation status or tumor location. 3% patients from na pr # ",SUNLIGHT,neutral
